(Declared Winner)","NO
(Declared Loser)",UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,Over Votes,Under Votes,Total,"Error Bound (up) - 
Max. possible relative overstatement for
NO (Loser)",Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Error Bound (up) - UNDEFINED,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,"Selection - 
Batch picked for audit",Times p Drawn - With Replacement
Batch by Type (p),Winning Candidate,Losing Candidate,Candidate 3,Candidate 4,Candidate 5,Candidate 6,Candidate 7,Candidate 8,Candidate 9,Candidate 10,Candidate 11,Candidate 12,Over Votes,Under Votes,Total,Error Bound (up) - Max. possible relative overstatement - Losing Candidate,Error Bound (up) - Max. possible relative overstatement - Candidate 3,Error Bound (up) - Max. possible relative overstatement - Candidate 4,Error Bound (up) - Max. possible relative overstatement - Candidate 5,Error Bound (up) - Max. possible relative overstatement - Candidate 6,Error Bound (up) - Max. possible relative overstatement - Candidate 7,Error Bound (up) - Max. possible relative overstatement - Candidate 8,Error Bound (up) - Max. possible relative overstatement - Candidate 9,Error Bound (up) - Max. possible relative overstatement - Candidate 10,Error Bound (up) - Max. possible relative overstatement - Candidate 11,Error Bound (up) - Max. possible relative overstatement - Candidate 12,Max Error Bound (up),up/U Selection Probability,Running (cumulative) sum,Selection Range,Lower Range,Span,Upper Range,Selection - Batch picked for audit,Times p Drawn - With Replacement
6501 DELHI A   (AV),27,18,,,,,,,,,,,0,0,45,0.000625318,0,0,0,0,0,0,0,0,0,0,0.000625318,0.000143959, 0.19 ,19247 - 19260,19246.50833,13.39589237,19259.90422,,0
6502 DELHI B   (AV),26,28,,,,,,,,,,,0,0,54,0.000602159,0,0,0,0,0,0,0,0,0,0,0.000602159,0.000138627, 0.19 ,19261 - 19274,19260.90422,12.86271117,19273.76693,,0
6503 DELHI C   (AV),37,40,,,,,,,,,,,0,0,77,0.000856918,0,0,0,0,0,0,0,0,0,0,0.000856918,0.000197277, 0.19 ,19275 - 19293,19274.76693,18.72770436,19293.49464,,0
6504 DELHI D   (AV),33,28,,,,,,,,,,,0,0,61,0.000764278,0,0,0,0,0,0,0,0,0,0,0.000764278,0.00017595, 0.19 ,19294 - 19311,19294.49464,16.59497957,19311.08962,,0
6505 DELHI E   (AV),22,33,,,,,,,,,,,0,0,55,0.000509519,0,0,0,0,0,0,0,0,0,0,0.000509519,0.0001173, 0.19 ,19312 - 19323,19312.08962,10.72998638,19322.8196,,0
6506 DELHI F   (AV),49,23,,,,,,,,,,,0,1,73,0.001146417,0,0,0,0,0,0,0,0,0,0,0.001146417,0.000263925, 0.19 ,19324 - 19349,19323.8196,25.39246935,19349.21207,,0
6507 DELHI G   (AV),33,43,,,,,,,,,,,0,1,77,0.000775858,0,0,0,0,0,0,0,0,0,0,0.000775858,0.000178616, 0.19 ,19350 - 19367,19350.21207,16.86157017,19367.07364,,0
6508 DELHI H   (AV),52,35,,,,,,,,,,,0,1,88,0.001215897,0,0,0,0,0,0,0,0,0,0,0.001215897,0.00027992, 0.19 ,19368 - 19395,19368.07364,26.99201295,19395.06566,,0
6509 DELHI I   (AV),32,17,,,,,,,,,,,0,0,49,0.000741118,0,0,0,0,0,0,0,0,0,0,0.000741118,0.000170618, 0.19 ,19396 - 19412,19396.06566,16.06179837,19412.12745,,0
6510 DELHI J   (AV),27,30,,,,,,,,,,,0,0,57,0.000625318,0,0,0,0,0,0,0,0,0,0,0.000625318,0.000143959, 0.19 ,19413 - 19427,19413.12745,13.39589237,19426.52335,,0
6511 DELHI K   (AV),33,27,,,,,,,,,,,0,1,61,0.000775858,0,0,0,0,0,0,0,0,0,0,0.000775858,0.000178616, 0.19 ,19428 - 19444,19427.52335,16.86157017,19444.38492,,0
6512 DELHI L   (AV),41,34,,,,,,,,,,,0,1,76,0.000961138,0,0,0,0,0,0,0,0,0,0,0.000961138,0.00022127, 0.19 ,19445 - 19467,19445.38492,21.12701976,19466.51194,,0
6513 DELHI M   (AV),35,29,,,,,,,,,,,0,3,67,0.000845338,0,0,0,0,0,0,0,0,0,0,0.000845338,0.000194611, 0.19 ,19468 - 19486,19467.51194,18.46111376,19485.97305,,0
6514 DELHI N   (AV),17,6,,,,,,,,,,,0,0,23,0.000393719,0,0,0,0,0,0,0,0,0,0,0.000393719,9.06408E-05, 0.19 ,19487 - 19495,19486.97305,8.064080382,19495.03713,,0
6515 DELHI O   (AV),34,31,,,,,,,,,,,0,2,67,0.000810598,0,0,0,0,0,0,0,0,0,0,0.000810598,0.000186613, 0.20 ,19496 - 19514,19496.03713,17.66134196,19513.69847,,0
6516 DELHI P   (AV),33,20,,,,,,,,,,,0,1,54,0.000775858,0,0,0,0,0,0,0,0,0,0,0.000775858,0.000178616, 0.20 ,19515 - 19532,19514.69847,16.86157017,19531.56004,,0
6517 DELHI Q   (AV),33,48,,,,,,,,,,,0,0,81,0.000764278,0,0,0,0,0,0,0,0,0,0,0.000764278,0.00017595, 0.20 ,19533 - 19549,19532.56004,16.59497957,19549.15502,,0
6518 DELHI R   (AV),53,78,,,,,,,,,,,0,4,135,0.001273797,0,0,0,0,0,0,0,0,0,0,0.001273797,0.00029325, 0.20 ,19550 - 19578,19550.15502,28.32496594,19578.47999,,0
6519 DELHI S   (AV),47,42,,,,,,,,,,,0,1,90,0.001100097,0,0,0,0,0,0,0,0,0,0,0.001100097,0.000253261, 0.20 ,19579 - 19604,19579.47999,24.32610695,19603.8061,,0
6701 ELMW A   (AV),22,12,,,,,,,,,,,0,0,34,0.000509519,0,0,0,0,0,0,0,0,0,0,0.000509519,0.0001173, 0.20 ,19605 - 19616,19604.8061,10.72998638,19615.53608,,0
6801 EVEN A   (AV),118,33,,,,,,,,,,,0,2,153,0.002756033,0,0,0,0,0,0,0,0,0,0,0.002756033,0.000634486, 0.20 ,19617 - 19679,19616.53608,62.44856268,19678.98464,,0
6802 EVEN B   (AV),53,34,,,,,,,,,,,0,1,88,0.001239057,0,0,0,0,0,0,0,0,0,0,0.001239057,0.000285252, 0.20 ,19680 - 19708,19679.98464,27.52519414,19707.50984,,0
6803 EVEN C   (AV),17,9,,,,,,,,,,,0,0,26,0.000393719,0,0,0,0,0,0,0,0,0,0,0.000393719,9.06408E-05, 0.20 ,19709 - 19717,19708.50984,8.064080382,19716.57392,,0
6901 FAIRFX A   (AV),72,11,,,,,,,,,,,0,0,83,0.001667516,0,0,0,0,0,0,0,0,0,0,0.001667516,0.00038389, 0.20 ,19718 - 19755,19717.57392,37.38904633,19754.96297,,0
7001 GLEN A   (AV),89,33,,,,,,,,,,,0,2,124,0.002084395,0,0,0,0,0,0,0,0,0,0,0.002084395,0.000479863, 0.20 ,19756 - 19803,19755.96297,46.98630791,19802.94927,,0
7002 GLEN B   (AV),86,41,,,,,,,,,,,0,0,127,0.001991755,0,0,0,0,0,0,0,0,0,0,0.001991755,0.000458536, 0.20 ,19804 - 19849,19803.94927,44.85358311,19848.80286,,0
7101 GOLF A   (AV),145,38,,,,,,,,,,,0,1,184,0.003369772,0,0,0,0,0,0,0,0,0,0,0.003369772,0.000775779, 0.20 ,19850 - 19926,19849.80286,76.57786445,19926.38072,,0
7102 GOLF B   (AV),133,12,,,,,,,,,,,0,1,146,0.003091852,0,0,0,0,0,0,0,0,0,0,0.003091852,0.000711797, 0.20 ,19927 - 19998,19927.38072,70.17969006,19997.56041,,0
7301 GREEN A   (AV),64,37,,,,,,,,,,,0,2,103,0.001505396,0,0,0,0,0,0,0,0,0,0,0.001505396,0.000346568, 0.20 ,19999 - 20032,19998.56041,33.65677793,20032.21719,,0
7302 GREEN B   (AV),62,37,,,,,,,,,,,0,1,100,0.001447496,0,0,0,0,0,0,0,0,0,0,0.001447496,0.000333238, 0.20 ,20033 - 20066,20033.21719,32.32382494,20065.54101,,0
7303 GREEN C   (AV),77,25,,,,,,,,,,,0,1,103,0.001794896,0,0,0,0,0,0,0,0,0,0,0.001794896,0.000413215, 0.20 ,20067 - 20107,20066.54101,40.32154292,20106.86256,,0
7304 GREEN D   (AV),45,59,,,,,,,,,,,0,1,105,0.001053777,0,0,0,0,0,0,0,0,0,0,0.001053777,0.000242597, 0.20 ,20108 - 20131,20107.86256,23.25974455,20131.1223,,0
7305 GREEN E   (AV),78,79,,,,,,,,,,,0,2,159,0.001829635,0,0,0,0,0,0,0,0,0,0,0.001829635,0.000421213, 0.20 ,20132 - 20173,20132.1223,41.12131472,20173.24362,,0
7306 GREEN F   (AV),39,48,,,,,,,,,,,0,2,89,0.000926398,0,0,0,0,0,0,0,0,0,0,0.000926398,0.000213272, 0.20 ,20174 - 20195,20174.24362,20.32724796,20194.57086,,0
7307 GREEN G   (AV),28,35,,,,,,,,,,,0,0,63,0.000648478,0,0,0,0,0,0,0,0,0,0,0.000648478,0.000149291, 0.20 ,20196 - 20209,20195.57086,13.92907357,20209.49994,,0
7308 GREEN H   (AV),59,23,,,,,,,,,,,0,0,82,0.001366437,0,0,0,0,0,0,0,0,0,0,0.001366437,0.000314577, 0.20 ,20210 - 20241,20210.49994,30.45769074,20240.95763,,0
7309 GREEN I   (AV),48,32,,,,,,,,,,,0,3,83,0.001146417,0,0,0,0,0,0,0,0,0,0,0.001146417,0.000263925, 0.20 ,20242 - 20267,20241.95763,25.39246935,20267.3501,,0
7310 GREEN J   (AV),42,42,,,,,,,,,,,0,1,85,0.000984298,0,0,0,0,0,0,0,0,0,0,0.000984298,0.000226602, 0.20 ,20268 - 20290,20268.3501,21.66020096,20290.0103,,0
7311 GREEN K   (AV),57,93,,,,,,,,,,,0,1,151,0.001331697,0,0,0,0,0,0,0,0,0,0,0.001331697,0.000306579, 0.20 ,20291 - 20321,20291.0103,29.65791894,20320.66822,,0
7312 GREEN L   (AV),61,52,,,,,,,,,,,0,0,113,0.001412756,0,0,0,0,0,0,0,0,0,0,0.001412756,0.000325241, 0.20 ,20322 - 20353,20321.66822,31.52405314,20353.19227,,0
7313 GREEN M   (AV),25,34,,,,,,,,,,,0,0,59,0.000578999,0,0,0,0,0,0,0,0,0,0,0.000578999,0.000133295, 0.20 ,20354 - 20367,20354.19227,12.32952997,20366.5218,,0
7314 GREEN N   (AV),36,40,,,,,,,,,,,0,0,76,0.000833758,0,0,0,0,0,0,0,0,0,0,0.000833758,0.000191945, 0.20 ,20368 - 20386,20367.5218,18.19452316,20385.71632,,0
7315 GREEN O   (AV),77,24,,,,,,,,,,,0,1,102,0.001794896,0,0,0,0,0,0,0,0,0,0,0.001794896,0.000413215, 0.20 ,20387 - 20427,20386.71632,40.32154292,20427.03787,,0
7316 GREEN P   (AV),45,52,,,,,,,,,,,0,0,97,0.001042197,0,0,0,0,0,0,0,0,0,0,0.001042197,0.000239932, 0.20 ,20428 - 20451,20428.03787,22.99315395,20451.03102,,0
7317 GREEN Q   (AV),46,58,,,,,,,,,,,0,1,105,0.001076937,0,0,0,0,0,0,0,0,0,0,0.001076937,0.000247929, 0.20 ,20452 - 20476,20452.03102,23.79292575,20475.82395,,0
7318 GREEN R   (AV),24,30,,,,,,,,,,,0,0,54,0.000555839,0,0,0,0,0,0,0,0,0,0,0.000555839,0.000127963, 0.20 ,20477 - 20489,20476.82395,11.79634878,20488.6203,,0
7319 GREEN S   (AV),39,35,,,,,,,,,,,0,0,74,0.000903238,0,0,0,0,0,0,0,0,0,0,0.000903238,0.000207941, 0.21 ,20490 - 20509,20489.6203,19.79406676,20509.41436,,0
7320 GREEN T   (AV),18,19,,,,,,,,,,,0,0,37,0.000416879,0,0,0,0,0,0,0,0,0,0,0.000416879,9.59726E-05, 0.21 ,20510 - 20519,20510.41436,8.597261581,20519.01162,,0
7321 GREEN U   (AV),27,26,,,,,,,,,,,0,0,53,0.000625318,0,0,0,0,0,0,0,0,0,0,0.000625318,0.000143959, 0.21 ,20520 - 20533,20520.01162,13.39589237,20533.40752,,0
7322 GREEN V   (AV),28,35,,,,,,,,,,,0,2,65,0.000671638,0,0,0,0,0,0,0,0,0,0,0.000671638,0.000154623, 0.21 ,20534 - 20549,20534.40752,14.46225477,20548.86977,,0
7323 GREEN W   (AV),48,58,,,,,,,,,,,0,0,106,0.001111677,0,0,0,0,0,0,0,0,0,0,0.001111677,0.000255927, 0.21 ,20550 - 20574,20549.86977,24.59269755,20574.46247,,0
7324 GREEN X   (AV),71,68,,,,,,,,,,,0,2,141,0.001667516,0,0,0,0,0,0,0,0,0,0,0.001667516,0.00038389, 0.21 ,20575 - 20613,20575.46247,37.38904633,20612.85151,,0
7325 GREEN Y   (AV),34,42,,,,,,,,,,,0,0,76,0.000787438,0,0,0,0,0,0,0,0,0,0,0.000787438,0.000181282, 0.21 ,20614 - 20631,20613.85151,17.12816076,20630.97968,,0
7326 GREEN Z   (AV),76,46,,,,,,,,,,,0,0,122,0.001760156,0,0,0,0,0,0,0,0,0,0,0.001760156,0.000405218, 0.21 ,20632 - 20672,20631.97968,39.52177112,20671.50145,,0
7327 GREEN AA   (AV),38,62,,,,,,,,,,,0,2,102,0.000903238,0,0,0,0,0,0,0,0,0,0,0.000903238,0.000207941, 0.21 ,20673 - 20692,20672.50145,19.79406676,20692.29551,,0
7328 GREEN BB   (AV),49,27,,,,,,,,,,,0,0,76,0.001134837,0,0,0,0,0,0,0,0,0,0,0.001134837,0.000261259, 0.21 ,20693 - 20718,20693.29551,25.12587875,20718.42139,,0
7329 GREEN CC   (AV),37,46,,,,,,,,,,,0,2,85,0.000880078,0,0,0,0,0,0,0,0,0,0,0.000880078,0.000202609, 0.21 ,20719 - 20739,20719.42139,19.26088556,20738.68228,,0
7330 GREEN DD   (AV),65,80,,,,,,,,,,,0,3,148,0.001540136,0,0,0,0,0,0,0,0,0,0,0.001540136,0.000354565, 0.21 ,20740 - 20774,20739.68228,34.45654973,20774.13883,,0
7331 GREEN EE   (AV),48,44,,,,,,,,,,,1,0,93,0.001123257,0,0,0,0,0,0,0,0,0,0,0.001123257,0.000258593, 0.21 ,20775 - 20800,20775.13883,24.85928815,20799.99812,,0
7332 GREEN FF   (AV),52,42,,,,,,,,,,,0,0,94,0.001204317,0,0,0,0,0,0,0,0,0,0,0.001204317,0.000277254, 0.21 ,20801 - 20828,20800.99812,26.72542235,20827.72354,,0
7333 GREEN GG   (AV),57,49,,,,,,,,,,,0,1,107,0.001331697,0,0,0,0,0,0,0,0,0,0,0.001331697,0.000306579, 0.21 ,20829 - 20858,20828.72354,29.65791894,20858.38146,,0
7334 GREEN HH   (AV),47,50,,,,,,,,,,,0,0,97,0.001088517,0,0,0,0,0,0,0,0,0,0,0.001088517,0.000250595, 0.21 ,20859 - 20883,20859.38146,24.05951635,20883.44097,,0
7335 GREEN II   (AV),30,13,,,,,,,,,,,0,0,43,0.000694798,0,0,0,0,0,0,0,0,0,0,0.000694798,0.000159954, 0.21 ,20884 - 20899,20884.44097,14.99543597,20899.43641,,0
7336 GREEN JJ   (AV),55,46,,,,,,,,,,,0,0,101,0.001273797,0,0,0,0,0,0,0,0,0,0,0.001273797,0.00029325, 0.21 ,20900 - 20929,20900.43641,28.32496594,20928.76137,,0
7337 GREEN KK   (AV),38,30,,,,,,,,,,,0,1,69,0.000891658,0,0,0,0,0,0,0,0,0,0,0.000891658,0.000205275, 0.21 ,20930 - 20949,20929.76137,19.52747616,20949.28885,,0
7338 GREEN LL   (AV),35,49,,,,,,,,,,,0,0,84,0.000810598,0,0,0,0,0,0,0,0,0,0,0.000810598,0.000186613, 0.21 ,20950 - 20968,20950.28885,17.66134196,20967.95019,,0
7339 GREEN MM   (AV),24,42,,,,,,,,,,,1,0,67,0.000567419,0,0,0,0,0,0,0,0,0,0,0.000567419,0.000130629, 0.21 ,20969 - 20981,20968.95019,12.06293937,20981.01313,,0
7340 GREEN NN   (AV),15,17,,,,,,,,,,,0,0,32,0.000347399,0,0,0,0,0,0,0,0,0,0,0.000347399,7.99772E-05, 0.21 ,20982 - 20989,20982.01313,6.997717984,20989.01085,,0
7341 GREEN OO   (AV),9,30,,,,,,,,,,,0,0,39,0.000208439,0,0,0,0,0,0,0,0,0,0,0.000208439,4.79863E-05, 0.21 ,20990 - 20994,20990.01085,3.798630791,20993.80948,,0
7342 GREEN PP   (AV),49,60,,,,,,,,,,,0,4,113,0.001181157,0,0,0,0,0,0,0,0,0,0,0.001181157,0.000271922, 0.21 ,20995 - 21021,20994.80948,26.19224115,21021.00172,,0
7343 GREEN QQ   (AV),55,60,,,,,,,,,,,0,2,117,0.001296957,0,0,0,0,0,0,0,0,0,0,0.001296957,0.000298581, 0.21 ,21022 - 21051,21022.00172,28.85814714,21050.85987,,0
7401 GR HL A   (AV),30,16,,,,,,,,,,,0,1,47,0.000706378,0,0,0,0,0,0,0,0,0,0,0.000706378,0.00016262, 0.21 ,21052 - 21067,21051.85987,15.26202657,21067.1219,,0
7402 GR HL B   (AV),53,28,,,,,,,,,,,0,2,83,0.001250637,0,0,0,0,0,0,0,0,0,0,0.001250637,0.000287918, 0.21 ,21068 - 21096,21068.1219,27.79178474,21095.91368,,0
7403 GR HL C   (AV),34,25,,,,,,,,,,,0,0,59,0.000787438,0,0,0,0,0,0,0,0,0,0,0.000787438,0.000181282, 0.21 ,21097 - 21114,21096.91368,17.12816076,21114.04184,,0
7601 HARR AA   (AV),22,33,,,,,,,,,,,0,1,56,0.000521099,0,0,0,0,0,0,0,0,0,0,0.000521099,0.000119966, 0.21 ,21115 - 21126,21115.04184,10.99657698,21126.03842,,0
7602 HARR BB   (AV),30,35,,,,,,,,,,,0,0,65,0.000694798,0,0,0,0,0,0,0,0,0,0,0.000694798,0.000159954, 0.21 ,21127 - 21142,21127.03842,14.99543597,21142.03385,,0
7603 HARR CC   (AV),25,20,,,,,,,,,,,0,0,45,0.000578999,0,0,0,0,0,0,0,0,0,0,0.000578999,0.000133295, 0.21 ,21143 - 21155,21143.03385,12.32952997,21155.36338,,0
7701 LIN HT A   (AV),75,4,,,,,,,,,,,0,2,81,0.001760156,0,0,0,0,0,0,0,0,0,0,0.001760156,0.000405218, 0.21 ,21156 - 21196,21156.36338,39.52177112,21195.88516,,0
7702 LIN HT B   (AV),24,4,,,,,,,,,,,0,0,28,0.000555839,0,0,0,0,0,0,0,0,0,0,0.000555839,0.000127963, 0.21 ,21197 - 21209,21196.88516,11.79634878,21208.6815,,0
7901 LOCK A   (AV),21,5,,,,,,,,,,,0,0,26,0.000486359,0,0,0,0,0,0,0,0,0,0,0.000486359,0.000111968, 0.21 ,21210 - 21220,21209.6815,10.19680518,21219.87831,,0
7902 LOCK B   (AV),32,20,,,,,,,,,,,0,0,52,0.000741118,0,0,0,0,0,0,0,0,0,0,0.000741118,0.000170618, 0.21 ,21221 - 21237,21220.87831,16.06179837,21236.94011,,0
8001 MARMT A   (AV),147,36,,,,,,,,,,,0,1,184,0.003416092,0,0,0,0,0,0,0,0,0,0,0.003416092,0.000786442, 0.21 ,21238 - 21316,21237.94011,77.64422685,21315.58433,,0
8002 MARMT B   (AV),154,48,,,,,,,,,,,0,1,203,0.003578211,0,0,0,0,0,0,0,0,0,0,0.003578211,0.000823765, 0.21 ,21317 - 21398,21316.58433,81.37649524,21397.96083,,0
8211 ADDY A   (AV),6,4,,,,,,,,,,,0,1,11,0.00015054,0,0,0,0,0,0,0,0,0,0,0.00015054,3.46568E-05, 0.21 ,21399 - 21401,21398.96083,2.465677793,21401.42651,,0
8221 CLEVE A   (AV),15,6,,,,,,,,,,,0,0,21,0.000347399,0,0,0,0,0,0,0,0,0,0,0.000347399,7.99772E-05, 0.21 ,21402 - 21409,21402.42651,6.997717984,21409.42423,,0
8222 CLEVE B   (AV),40,55,,,,,,,,,,,0,1,96,0.000937978,0,0,0,0,0,0,0,0,0,0,0.000937978,0.000215938, 0.21 ,21410 - 21431,21410.42423,20.59383856,21431.01806,,0
8231 NO BEND A   (AV),18,37,,,,,,,,,,,1,0,56,0.000428459,0,0,0,0,0,0,0,0,0,0,0.000428459,9.86385E-05, 0.21 ,21432 - 21441,21432.01806,8.863852181,21440.88192,,0
8301 MIAMI A   (AV),49,46,,,,,,,,,,,0,1,96,0.001146417,0,0,0,0,0,0,0,0,0,0,0.001146417,0.000263925, 0.21 ,21442 - 21467,21441.88192,25.39246935,21467.27439,,0
8302 MIAMI B   (AV),56,98,,,,,,,,,,,0,0,154,0.001296957,0,0,0,0,0,0,0,0,0,0,0.001296957,0.000298581, 0.21 ,21468 - 21497,21468.27439,28.85814714,21497.13253,,0
8303 MIAMI C   (AV),38,64,,,,,,,,,,,0,1,103,0.000891658,0,0,0,0,0,0,0,0,0,0,0.000891658,0.000205275, 0.22 ,21498 - 21518,21498.13253,19.52747616,21517.66001,,0
8304 MIAMI D   (AV),47,75,,,,,,,,,,,0,0,122,0.001088517,0,0,0,0,0,0,0,0,0,0,0.001088517,0.000250595, 0.22 ,21519 - 21543,21518.66001,24.05951635,21542.71953,,0
8305 MIAMI E   (AV),28,40,,,,,,,,,,,0,3,71,0.000683218,0,0,0,0,0,0,0,0,0,0,0.000683218,0.000157288, 0.22 ,21544 - 21558,21543.71953,14.72884537,21558.44837,,0
8306 MIAMI F   (AV),13,22,,,,,,,,,,,0,0,35,0.000301079,0,0,0,0,0,0,0,0,0,0,0.000301079,6.93136E-05, 0.22 ,21559 - 21565,21559.44837,5.931355587,21565.37973,,0
8307 MIAMI G   (AV),61,66,,,,,,,,,,,0,1,128,0.001424336,0,0,0,0,0,0,0,0,0,0,0.001424336,0.000327906, 0.22 ,21566 - 21598,21566.37973,31.79064374,21598.17037,,0
8308 MIAMI H   (AV),16,10,,,,,,,,,,,0,2,28,0.000393719,0,0,0,0,0,0,0,0,0,0,0.000393719,9.06408E-05, 0.22 ,21599 - 21607,21599.17037,8.064080382,21607.23445,,0
8401 NEWT A   (AV),32,22,,,,,,,,,,,0,0,54,0.000741118,0,0,0,0,0,0,0,0,0,0,0.000741118,0.000170618, 0.22 ,21608 - 21624,21608.23445,16.06179837,21624.29625,,0
8402 NEWT B   (AV),88,41,,,,,,,,,,,0,2,131,0.002061235,0,0,0,0,0,0,0,0,0,0,0.002061235,0.000474531, 0.22 ,21625 - 21672,21625.29625,46.45312671,21671.74938,,0
8511 ST BN 1-A   (AV),27,21,,,,,,,,,,,0,0,48,0.000625318,0,0,0,0,0,0,0,0,0,0,0.000625318,0.000143959, 0.22 ,21673 - 21686,21672.74938,13.39589237,21686.14527,,0
8521 ST BN 2-A   (AV),54,49,,,,,,,,,,,0,1,104,0.001262217,0,0,0,0,0,0,0,0,0,0,0.001262217,0.000290584, 0.22 ,21687 - 21715,21687.14527,28.05837534,21715.20364,,0
8531 ST BN 3-A   (AV),64,24,,,,,,,,,,,0,1,89,0.001493816,0,0,0,0,0,0,0,0,0,0,0.001493816,0.000343902, 0.22 ,21716 - 21750,21716.20364,33.39018733,21749.59383,,0
8541 ST BN 4-A   (AV),45,18,,,,,,,,,,,0,2,65,0.001065357,0,0,0,0,0,0,0,0,0,0,0.001065357,0.000245263, 0.22 ,21751 - 21774,21750.59383,23.52633515,21774.12017,,0
8601 SILVT A   (AV),132,31,,,,,,,,,,,1,0,164,0.003068692,0,0,0,0,0,0,0,0,0,0,0.003068692,0.000706465, 0.22 ,21775 - 21845,21775.12017,69.64650886,21844.76667,,0
8602 SILVT B   (AV),173,21,,,,,,,,,,,0,0,194,0.00400667,0,0,0,0,0,0,0,0,0,0,0.00400667,0.000922403, 0.22 ,21846 - 21937,21845.76667,91.24034742,21937.00702,,0
8603 SILVT C   (AV),137,32,,,,,,,,,,,0,0,169,0.003172912,0,0,0,0,0,0,0,0,0,0,0.003172912,0.000730458, 0.22 ,21938 - 22010,21938.00702,72.04582426,22010.05285,,0
8701 SPFLD A   (AV),40,8,,,,,,,,,,,0,0,48,0.000926398,0,0,0,0,0,0,0,0,0,0,0.000926398,0.000213272, 0.22 ,22011 - 22031,22011.05285,20.32724796,22031.38009,,0
8702 SPFLD B   (AV),37,8,,,,,,,,,,,0,0,45,0.000856918,0,0,0,0,0,0,0,0,0,0,0.000856918,0.000197277, 0.22 ,22032 - 22051,22032.38009,18.72770436,22051.1078,,0
8703 SPFLD C   (AV),110,24,,,,,,,,,,,0,0,134,0.002547594,0,0,0,0,0,0,0,0,0,0,0.002547594,0.000586499, 0.22 ,22052 - 22110,22052.1078,57.64993189,22109.75773,,0
8704 SPFLD D   (AV),39,16,,,,,,,,,,,0,0,55,0.000903238,0,0,0,0,0,0,0,0,0,0,0.000903238,0.000207941, 0.22 ,22111 - 22131,22110.75773,19.79406676,22130.5518,,0
8705 SPFLD E   (AV),47,10,,,,,,,,,,,0,0,57,0.001088517,0,0,0,0,0,0,0,0,0,0,0.001088517,0.000250595, 0.22 ,22132 - 22156,22131.5518,24.05951635,22155.61131,,0
8706 SPFLD F   (AV),52,23,,,,,,,,,,,0,0,75,0.001204317,0,0,0,0,0,0,0,0,0,0,0.001204317,0.000277254, 0.22 ,22157 - 22183,22156.61131,26.72542235,22183.33674,,0
8707 SPFLD G   (AV),111,30,,,,,,,,,,,0,1,142,0.002582334,0,0,0,0,0,0,0,0,0,0,0.002582334,0.000594497, 0.22 ,22184 - 22243,22184.33674,58.44970368,22242.78644,,0
8708 SPFLD H   (AV),112,62,,,,,,,,,,,0,0,174,0.002593914,0,0,0,0,0,0,0,0,0,0,0.002593914,0.000597163, 0.22 ,22244 - 22303,22243.78644,58.71629428,22302.50273,,0
8709 SPFLD I   (AV),19,7,,,,,,,,,,,0,0,26,0.000440039,0,0,0,0,0,0,0,0,0,0,0.000440039,0.000101304, 0.22 ,22304 - 22313,22303.50273,9.13044278,22312.63318,,0
8710 SPFLD J   (AV),66,12,,,,,,,,,,,0,1,79,0.001540136,0,0,0,0,0,0,0,0,0,0,0.001540136,0.000354565, 0.22 ,22314 - 22348,22313.63318,34.45654973,22348.08973,,0
8711 SPFLD K   (AV),52,11,,,,,,,,,,,0,4,67,0.001250637,0,0,0,0,0,0,0,0,0,0,0.001250637,0.000287918, 0.22 ,22349 - 22377,22349.08973,27.79178474,22376.88151,,0
8712 SPFLD L   (AV),21,2,,,,,,,,,,,0,0,23,0.000486359,0,0,0,0,0,0,0,0,0,0,0.000486359,0.000111968, 0.22 ,22378 - 22388,22377.88151,10.19680518,22388.07832,,0
8713 SPFLD M   (AV),70,23,,,,,,,,,,,0,1,94,0.001632776,0,0,0,0,0,0,0,0,0,0,0.001632776,0.000375893, 0.22 ,22389 - 22426,22389.07832,36.58927453,22425.66759,,0
8714 SPFLD N   (AV),104,38,,,,,,,,,,,0,1,143,0.002420214,0,0,0,0,0,0,0,0,0,0,0.002420214,0.000557174, 0.22 ,22427 - 22481,22426.66759,54.71743529,22481.38503,,0
8715 SPFLD O   (AV),50,28,,,,,,,,,,,0,1,79,0.001169577,0,0,0,0,0,0,0,0,0,0,0.001169577,0.000269257, 0.23 ,22482 - 22508,22482.38503,25.92565055,22508.31068,,0
8716 SPFLD P   (AV),70,26,,,,,,,,,,,0,1,97,0.001632776,0,0,0,0,0,0,0,0,0,0,0.001632776,0.000375893, 0.23 ,22509 - 22546,22509.31068,36.58927453,22545.89995,,0
8717 SPFLD Q   (AV),53,20,,,,,,,,,,,0,2,75,0.001250637,0,0,0,0,0,0,0,0,0,0,0.001250637,0.000287918, 0.23 ,22547 - 22575,22546.89995,27.79178474,22574.69174,,0
